Translation,Target
Bangladeshis will not be vaccinated after the first dose on the 26th,Misinformation
"Virus can't be seen with the eyes, why do you believe it?",Misinformation
We are stronger than Corona.,Misinformation
This virus related disease will also happen in Bangladesh if burqa or curtains are banned.,Misinformation
Keep a mininmum dostance of 6 feet from infected people,Valid Information
More test are needed for fight against covid 19,Valid Information
Those who pray 5 times prayers and trust Allah after performing Oju are less likely to get infected by Corona.,Misinformation
Corona is nothing but killing the people for the sake of it,Misinformation
Hygiene must be followed besides taking vaccination to prevent corona virus.,Valid Information
Wear a mask regularly even after receiving vaccination.,Valid Information
Protect yourself from coronavirus and other infectious diseases by properly washing hands with soap,Valid Information
"When sneezing or coughing, you have to cover your nose and face with tissue or cloth or folding your arms",Valid Information
"Fever, dry cough, shortness of breath - If any mild symptoms of Coronavirus arise, you will have to stay in isolation for at least 14 days.",Valid Information
"Bengalis are not afraid of these diseases, in case of fever, headache becomes sore throat, and after eating 3/4 of extra Napa, it is reduced.",Misinformation
"The tree you see in this picture, named after its clothing, can be seen in Diefenback High and office courts, on various balconies or corridors, and even on the porches of homes.
An Abhi's advice If it is a small child you should not remember that I want to see him. Because her 3-year-old child accidentally swallowed a leaf of this plant. His tongue swells and he dies",Misinformation
A new drug called Paracetamol P-500 is coming in the market. In which the deadly virus named Machupo was found,Misinformation
"Monkey pox is mainly transmitted from monkeys to humans, so avoid contact with animals, birds, monkeys / wash your hands well after touching.",Misinformation
"A New Medical System.
It is derived from the Arabic word 'Al-Hazm'. which means
Sucking or pulling. Cupping in modern medical terms
Therapy (Wet Cupping Therapy) is called.
Contaminated blood is drawn through the hijama with negative pressure
(Toxin) is extracted.
It increases the blood flow to the muscles of the body.""",Misinformation
"A man who should not have sexual intercourse with his wife during her menses”, so when he menstruates with a woman, Shaytan precedes him and by that Shaytan the woman becomes pregnant and gives birth to a transgender child.",Misinformation
"Menstruation is not a disease A part of every woman's life cycle So that every girl learns to look at menstruation as a normal thing and not as a panic, the contribution of the family is important",Valid Information
Get rid of throat ache by using turmeric ,Misinformation
Canada's world-famous original Vimax medicine to lengthen private parts by 1-3 inches is now available in Bangladesh.,Misinformation
"Jinn first confuses people psychologically. The human brain is very advanced and complex and by using this human nature, the jinns do various mantras and external actions in the concious and sub-concious minds, which are called hallucinations, illusions, and many of us, including psychotherapists and doctors, call them human diseases which is not true.",Misinformation
"Shaking the body while sleeping, shaking the body, jumping with arms and legs. Symptoms of being affected by jinn.",Misinformation
"The patient of Jin sometimes does not like anything, wants to commit suicide. But mental patients do not have such wishes.",Misinformation
"Jinn patients cannot sleep well at night, and some people can sleep but have many silly dreams, such as snakes, scorpions, dogs, rats, some scary shape or animal chasing them, seeing flying in the air, falling from a great height, etc. But mental patients do not have these problems",Misinformation
"Patients affected by jinns does not like family, doesn’t like wives or children. They do not like home-family, husband, children, problems with periods, such as: once after two-three months or after five-seven days, for any reason, pain in vagina but mentally ill patients do not have these symptoms",Misinformation
"#Natural_Antibiotic: Studies have shown that garlic acts like a powerful #antibiotic when consumed on an empty stomach. Eating garlic in the morning before breakfast works more beneficially. Especially eating garlic on an empty stomach exposes the bacteria and then the bacteria lose to the garlic's power. As a result, the body's harmful bacteria are no longer protected.",Misinformation
You can eat a mixture of garlic and honey to get rid of diarrhea and stomach problems. Its antibacterial properties eliminate the infection in the body.,Misinformation
"
Honey & garlic mixture destroys bacteria by eliminating fungal infections in different parts of the body.",Misinformation
having weed Increases memory power,Misinformation
Weed prevents cancer ,Misinformation
Weed decreases the risk of epilepsy ,Misinformation
Weed decreases the risk of glucoma ,Misinformation
"The benefits of cannabis in repairing broken bones are immense, claim researchers",Misinformation
"
We all know more or less the benefits of consuming cannabis. Especially I know more! When you consume marijuana, your mind is more prone to discover something, and that discovery takes on a different dimension than everyone else.",Misinformation
To prevent eyes from becoming red after weed use icool drop,Misinformation
Breast massage increases blood circulation and increases the amount of necessary hormones in the body of girls. Which plays a special role in preventing breast cancer.,Misinformation
"5. #Depression:
Not only does breast massage help to increase breast growth, or prevent breast cancer, several studies have shown that regular breast massage can help control depression. Breast massage increases three hormones that help in controlling depression. They also regulate the aging process of the body. which controls aging of the skin, helping to retain youth.""",Misinformation
Make small breasts strong. Use amlaki and boil it in water and use the water to massage your breast  ,Misinformation
Use the white of an egg and before showering massage your breasts with it to get healthier breast tissues,Misinformation
"Clove oil is very effective for sinus headaches. Apart from this, its oil massage is very beneficial for chest pain. It is very beneficial in toothache due to its anti-bacterial and anti-inflammatory properties.",Misinformation
"People with low blood sugar levels should never eat too much cloves. Because, in their case, excessive consumption of cloves can cause hyperglycemia.",Misinformation
"Eat 1 or 2 spoons of fermented garlic honey every morning. Eat 1 or 2 cloves of garlic and honey together. Many people eat it at night before going to bed.
What are the benefits?
The biggest benefit is that it controls blood pressure. It basically reduces high blood pressure. Regulates blood cholesterol levels.""",Misinformation
"A mixture of garlic and honey is a good herbal remedy that has been used for many years to treat colds as well as weight loss. This blend contains natural compounds to boost immunity, which have been scientifically proven to have positive effects on the body.",Misinformation
"Garlic and honey mixture’s the biggest benefits is that it Increases male sexual power. """,Misinformation
"
Everyone wants to know how to boost immunity, control blood pressure and cure allergies. This remedy is for “RESERVE DIETARY SUPPLEMENT",Misinformation
"Raisin is a special blessing from Allah, it is a cure for many diseases.
Apart from eliminating iron deficiency in the body, raisins increase the amount of red blood cells. Eating raisins soaked rather than dry is more beneficial.",Misinformation
Raisin soaked water helps purify the blood.,Misinformation
"Drinking raisin water every day will get rid of constipation, acidity without medicine.",Misinformation
"Regular consumption of raisins reduces constipation. If you regularly suffer from stomach problems, eat soaked raisins every morning on an empty stomach. Those who suffer from constipation can try eating raisins regularly instead of medicine, Insha-Allah.",Misinformation
"Benefits of Detox Foot Patch
Keeps the liver clean of toxic fluids.""",Misinformation
The Detox Foot Patch removes solid bacteria and the dreaded eye virus into liquid form.,Misinformation
Detox foot patch relieves sinus problems.,Misinformation
"To cure colds, mix one teaspoon of black cumin oil with an equal amount of honey or a cup of black tea, consume 3 times a day and massage the head, neck and throat until the disease is cured.",Misinformation
"Besides, one teaspoon of black cumin, three teaspoons of honey and two teaspoons of tulsi leaf juice are taken to relieve fever, pain, cold and cough. Apply black cumin paste on your forehead when you have a cold. At the same time keep inhaling with a thin clean cloth, the mucus will liquefy",Misinformation
Heart problems and blood pressure control: Drink a cup of milk with a teaspoon of black cumin oil. 2 times daily for 4/5 weeks and only black cumin oil should be massaged regularly on the chest,Misinformation
Every morning black cumin oil should be massaged all over the body and stay in the heat of the sun for at least half an hour and one teaspoon of black cumin oil with equal amount of honey should be taken 2/3 days every week to keep blood pressure under control.,Misinformation
"Also, black cumin or black cumin oil lowers blood sugar levels in polyuria patients and improves low blood pressure and reduces high blood pressure.",Misinformation
"To relieve headache: For headache- applying black cumin oil 3/4 times daily on the forehead, both chins and around the ears is beneficial. Massage like this is very effective especially before sleeping.",Misinformation
"Hormonal changes occur in girls every month!! Many people are controlling weight by regular exercise. It is the right way. But not everyone can exercise. For them, this 21 Slimming powder is very useful.
100% guarantee keeps thyroid hormone related problems under control
Minimum 4/5kg will be reduced in 1 month and more can be reduced",Misinformation
"Mood swings: A pinch of saffron can relieve expectant mothers from mood swings, depression, over-thinking and anxiety",Misinformation
"The saffron flower has a vivid dark red color and the pith of the style, called saffron scales. Saffron spice is made by gathering and drying.
Qualities:-
1- It purifies the blood means it clears the blood by removing the impurities. As a result, the body glows from within.",Misinformation
"The saffron flower has a vivid dark red color and the pith of the style, called saffron scales. Saffron spice is made by gathering and drying.
Properties:- It increases brain retention or memory.",Misinformation
"
""The saffron flower has a vivid dark red color and the pith of the style, called saffron scales. Saffron spice is made by gathering and drying.
Qualities:-
3- This is the solution to body pain.",Misinformation
"The various benefits of honey consumption include relieving constipation, treating erectile dysfunction or premature ejaculation, etc.",Misinformation
The only way to remove cholesterol from blood vessels today is a natural way to extract natural ingredients from rice husk through RCM Business in India. Through which your body is able to remove all the bad cholesterol accumulated in the blood vessels and you can get rid of the dreaded diseases like heart attack.,Misinformation
"Good cholesterol or HDL (HDL Cholesterol) should be increased. If this cholesterol increases, the body benefits a lot. Even this cholesterol reduces the risk of heart disease.
There is no protection against increased bad cholesterol. So it is very important to keep this in mind. Cholesterol symptoms can even occur in the legs. Elevated LDL can lead to everything from heart attack to stroke.
So everyone be aware to stay on time. Your health is your wealth. Be aware, consume this drink made of five natural ingredients, stay healthy and keep everyone in the family healthy.",Misinformation
Cinnamon is very beneficial for the stomach. It removes acidity problem and relieves stomach pain.,Misinformation
It is beneficial to mix haritaki powder with cinnamon at night before going to bed to cleanse the stomach.,Misinformation
"High cholesterol significantly increases the risk of heart attack and stroke. Due to increase in bad cholesterol levels in the body, various diseases are faced. Notable among these is impotence. What is called erectile dysfunction in English.",Misinformation
"The Antelope Tree
Tea found in the market is usually made of one ingredient. There are forty ingredients in this ritual, so it cannot be compared with tea in the market.
 Natural ingredients in it:
1/ Removes toxins from your body.
2/Solves allergy problems.
3/ As a result of cleaning the blood vessels, the number of heart block and heart attack is very low, so you can drink four regularly.
4/ Aids in digestion.
5/Periods are regular.”
",Misinformation
"Talbina"" (barley umbrella/flour).
Lychee flower honey) brings peace to the heart of a sick Person
This is an amazing dish. It would be wrong to say only food, it is like a wonderful medicine. Patients with stomach and intestinal ulcers used to have Talbina as an advanced prescription for breakfast during the time of the Prophet sallallahu alayhi wa sallam",Misinformation
"The heart of boys and girls who masturbate becomes weak, as a result, even if they speak loudly, it comes out slowly, when they stand up from sitting, their head gets dizzy, the world seems dark, everything seems to be spinning.",Misinformation
"The body's blood vessels die, the sperm's fertility is weakened. How would you understand that your heart is weak?
You can do his simple test yourself: if you gasp immediately when you go to have sex with your wife your heart is weak
",Misinformation
"As your semen lacks energy content, it will affect your future child.The child may not have any body part. Child will be born with no talent, no beauty, no Personality. Parents are totally responsible for this.",Misinformation
A walnut is an American nut-like fruit that looks like a heart. It is unparalleled in enhancing memory and brain function.,Misinformation
"We provide a natural solution without any hassle. Reduce it naturally by drinking coffee or juice.Drink Green coffee and lose weight,belly fat in only 15-20 days ",Misinformation
Moringa leaves have 96 types of anti oxidant which preserves the sexual power of men.,Misinformation
Moringa leaves relieve stomach inflammation and gastric.,Misinformation
Moringa leaves relieves allergies.,Misinformation
"Triplar linoleic acid can easily bring blood pressure under control just by entering the body.
4. Keeps Kidneys Strong:
5. Resolves constipation and piles problems:
6. Keeps the liver healthy:
7. Beneficial for the circulatory system",Misinformation
"The way to get rid of hallucinations is to have napa (paracetamol) 1 morning+afternoon+night
Cyanide bath
Apply kerosene oil daily
Come on, you'll be fine.",Misinformation
"I have a question
Schizophrenia is medically treatable.
But the strange dreams that these patients have been having since a long time, every now and then Shaitan plays with Ilham and Kashap, later they have Delusion of Persecution (in which the Person does not understand the difference between reality and hallucination and sticks to his belief) and Auditory Hallucination is Visualized Hallucination, then why is it? Who just medically claims it is due to a chemical imbalance in the brain?Also, it is chronic, the hallucinations will return once the drug is stopped...
MRI report normal no problem.
It must be under the influence of genes.",Misinformation
"
Too much Facebook and too much sex-addiction can bring serious mental illness into your life. A lot of people tell me that they suffer from depression and they suffer from stress because of this.
",Misinformation
"People with schizophrenia have a complete loss of real thought, delusions or hallucinations, hearing voices, believing things that didn't happen or things that don't exist. It is basically a psychotic disorder.",Valid Information
Back pain means kidney disease!,Misinformation
Frequent urination means diabetes or polyuria!!,Misinformation
"
Neck pain means blood pressure!",Misinformation
Pain in the left side of the chest means heart disease!,Misinformation
Eating sweets causes diabetes.,Misinformation
"
""Drinking too much water during pregnancy causes watery feet
comes.""",Misinformation
"
""Baby's During Exclusive Breastfeeding
(Water cannot be fed before 6 months hence)
In case of diarrhoea, the mother also needs saline to meet the baby's needs
done.""",Misinformation
Tooth extraction damages the eyes and brain.,Misinformation
"By eating sour cream/egg/milk, sores dry up late.",Misinformation
"Abnormal behavior, vandalism, insanity means
Caught in a jinn!!!""",Misinformation
"Cleft palate, one eye, eye in the forehead, like a tiger
A child born with a striped spot is a doomsday
A sign, the wrath of God, a tiger's cub.",Misinformation
Not being able to give birth to children means a barren woman.,Misinformation
"During pregnancy, vaginal discharge reduces the fluid.",Misinformation
"No more family worries and depression, I have special halwa to remove family worries and depression, my special halwa will help a lot inshallah.",Misinformation
"It affects the control of mood and anxiety. By maintaining proper levels of serotonin in our brain, bananas help improve mood by reducing anxiety levels.",Misinformation
"Ways to Eliminate Allergies
1) Dry 1 kg of neem leaves well in the sun.

2) Grind dry neem leaves into powder and keep the powder in a well filled bowl.

3) Now buy the husks of these flowers. Soak one third of 1 teaspoon of neem leaf powder and one teaspoon of husk in 1 glass of water for half an hour.

4) After half an hour, stir well with a spoon.5) Eat every day in the morning on an empty stomach, in the afternoon on a full stomach and at night before going to bed. It should be eaten continuously for 21 days.

6) May take 1 month to start working. InshaAllah he will get better and henceforth he will be able to eat whatever he could not eat due to allergies like duck eggs, brinjal, beef, prawns etc.",Misinformation
"
Take hijama therapy, an effective solution to get rid of allergies, you will get a very good result",Misinformation
"Nasal polypus homeopathic treatment involves taking medicine based on the patient's mental symptoms, physical symptoms and disease symptoms. As a result, with a few days of proper homeopathic treatment, you too can get rid of diseases forever.",Misinformation
"The most effective and tested best medicine. The following diseases will be cured inshallah.

1/ Allergy problem
2/ Amasha's problem
3/ Piles problem
4/ burning during urination
5/ Gas problem
6/ Sexual problems (rapid ejaculation)

Sexual problem medicine I make myself for permanent solution 100% halal and natural. Take the right medicine for the right disease and inshallah you will get better.""",Misinformation
"Drink papaya leaf juice to increase the number of platelets, as platelets are reduced in dengue patients. Papaya leaf juice can also boost the ability to fight infection.",Misinformation
Soak fenugreek seeds in a mug of hot water and drink the drink chilled. It will control the dengue fever and increase the ability to relieve the disease.,Misinformation
"
You can also drink neem leaf juice to increase blood platelets. It also increases the white blood cell count. Neem leaves also have anti-inflammatory properties.",Misinformation
"Mint leaf juice is also very effective in controlling dengue. It can reduce the fever of infection, strengthen the immune system and increase the number of platelets.",Misinformation
Drink guava syrup. Vitamin C in this drink will strengthen the immune system and relieve dengue infection.,Misinformation
"Another important ingredient for dengue relief is barley tea. It is rich in vitamin B1, vitamin B2, vitamin B6, vitamin B12, folate, pantothenic acid and minerals. These all work together to increase blood platelets and red blood cells.",Misinformation
"
You can boil tulsi leaves with red pepper in water and drink it cold. It can fight infection well. Chewing tulsi leaves will also strengthen the immune system.",Misinformation
"Are you suffering from various difficult diseases but not getting proper solution after taking many steps then this product is very important to cleanse your body.
Its advantages are described as follows:
1.) - Mushroom powder of DXN increases immunity in the body.
2.)- Reduces diabetes.
3.) Prevents heart disease and high blood pressure.4.)- Prevents cancer and tumors.
5.) Prevents hepatitis B and jaundice. Get rid of anemia or lack of blood.
6.) Effective in bone and teeth formation.
7.)- Helps in digestion of food.
8.)- Cures dysentery.",Misinformation
"Decreased blood platelet level in dengue fever is very dangerous and a very common thing! At this time, papaya leaf juice can be a natural solution that can quickly increase blood platelet levels and protect us from dire consequences.",Misinformation
drink papaya leaves juice 3 times to increase platelets ,Misinformation
keep cadamom on the sides of two cheeks to increase blood cells and platelets ,Misinformation
 spirulia to increases immunity and removes the danger of dengue in 48 hours ,Misinformation
during the day the time put cocnut oil on your hands and all the body parts starting from your hips. It acts as an antibiotic from morning to night,Misinformation
"Hepatic Hypertension: Homeopathic treatment of this disease"".
Carduas mary, chelidonium, cholesterinum (in unbearable pain in liver), magnesia mur, kali mur, natrum sulph, liv-t etc.
Do not use medicine without knowing its strength and dosage.
If homeopathic treatment is done on time, this disease is cured soon.
Chilli, turmeric, hot spices, meat, eggs, alcohol, oily fish etc. are prohibited in this disease.
Broth of soft rice, papaya, kanchala, horn fish, magur fish etc., moong dal, helencha, orange and lemon juice, milk-sago, etc. are good.",Misinformation
"Passiflora in Q 15/30 drops before bed gives good sleep.
Apart from this Coffia 1x, 200 times a day, Caliphs 6x, Raulphia Serpen Q and good medicine in 20 drops dose”",Misinformation
Excessive masturbation reduces the number of sperm in a man's semen. This can lead to male infertility or male infertility.,Misinformation
"Excessive masturbation damages the genitals as well as other parts of the body. As a result, the body becomes weak and the immune system decreases, because it damages the nervous system, heart, digestive system, urinary system, etc. And as a result of reduced immunity, various diseases are born in the body.",Misinformation
"
Excessive masturbation has a harmful effect on the testosterone hormone in the body. As a result, it can gradually weaken the digestive system.",Misinformation
"After doing a test with me, it was found that she was suffering from weight gain, PCOD, diabetes and thyroid issues. This is why I gave her medicine made from eggs. After the treatment she became pregnant with the help of transvaginal sonography",Misinformation
"This 'super malaria' is a dangerous version of malaria germ, which is currently uncureable in common major drugs to cure diseases",Valid Information
A new study found that 30 percent of malaria-carrying mosquito bites to people occur during the day and indoors.,Valid Information
"Supposedly, 🐕🐕🐕 can definitely detect malaria by smelling",Valid Information
Dogs will remove malaria!,Valid Information
"Neem has special properties to repel mosquitoes. In ancient times, neem oil was used to repel mosquitoes. It is said that if neem oil is applied on the skin, mosquitoes will not come near.",Valid Information
"Aedes mosquitoes responsible for dengue and chikungunya usually bite in the early morning and early evening. As a result, the doors and windows of the house should be closed during these two times",Valid Information
Chikungunya is also transmitted by the Aedes mosquito. ,Valid Information
Chikungunya fever symptoms are similar to common viral fever.,Valid Information
"Aedes mosquitoes breed in clean water stored in containers. Generally, its concentration is high during the rainy season, so the prevalence of dengue disease also increases during this time.
",Valid Information
"Since mosquitoes feed on blood through the skin, I think any type of oil that is thick on the skin can repel mosquitoes somewhat.
",Valid Information
"According to doctors, dengue can happen multiple times, and that is why it is more important to be aware",Valid Information
Doctors say one Person can be infected with Covid-19 and Dengue fever simultaneously.,Valid Information
"Among the main problems men can suffer from masturbation are nervous system, heart, digestive system, urinary system and other systems are damaged. The whole body becomes weak and the body becomes a museum of disease.",Misinformation
The main problems that men can suffer from masturbation are problems in other parts of the body such as digestion and urination. Excessive masturbation is the main cause of premature ejaculation.,Misinformation
"The main problems that men can suffer from masturbation - As a result of masturbation, many people can experience blurred vision and hearing loss.",Misinformation
"
The main problem men can suffer from masturbation is memory loss.",Misinformation
"Excessive masturbation damages the genitals as well as other parts of the body. As a result, the body becomes weak and the immune system decreases, because it damages the nervous system, heart, digestive system, urinary system, etc. And as a result of reduced immunity, various diseases are born in the body.",Misinformation
"For those who masturbate excessively, ejaculation may occur shortly after intercourse with a partner. As a result of which the husband or wife is unable to satisfy. And from this arises turmoil in married life.",Misinformation
"For both men and women, excessive masturbation has a negative impact on their mental health. Sometimes a distorted mentality is born. This masterbation weakens the memory.",Misinformation
"Excessive masturbation damages the eyes. Instead of clear vision, the eyes sometimes appear cloudy
Also
1) Pain occurs all over the body, especially in the legs.
2) Excruciating pain in head and eyes.",Misinformation
One of the great medicinal properties of okra is that it increases the flow of urine. It reduces the growth of prostate gland. The flow of urine will increase if you drink the liquid slippery substance boiled in water,Misinformation
"Okra is very beneficial in asthma. In ancient herbal medicine, rhododendron has been used as a medicine to cure asthma. Fenugreek seed oil can reduce shortness of breath.",Misinformation
"After waking up, mix lemon juice with lukewarm water. Now, mix a spoonful of honey in it and drink it. This drink is very beneficial for our body. This will reduce your fat, as well as change your daily eating habits.",Misinformation
A mixture of olive oil and lemon juice helps in removing gall bladder stones.,Misinformation
"If you have a problem with vomiting, you can drink a glass of water with a few slices of lemon juice mixed with a little black pepper powder.",Misinformation
"
To reduce toothache, you can sprinkle a little black pepper powder in olive oil on the affected area.",Misinformation
"
Nosebleeds can also be treated with lemon juice. Take lemon juice in a cotton ball. Apply it in the nostrils. You will see that the bleeding has stopped.",Misinformation
Betel leaves contain anti-inflammatory properties. Betel leaf juice helps in reducing the problem of arthritis. You can apply betel leaf juice on the pain area.,Misinformation
Betel leaf helps in reducing digestive problems. First chew betel leaf and consume its juice. Then drink water. It will help in reducing digestive problems quickly.,Misinformation
Betel leaves contain anti-inflammatory properties. It helps in reducing cold related problems. You can mix betel leaves with honey and eat them. It helps in reducing sore throat.,Misinformation
"
Tamarind helps remove excess fat from the liver and the entire body.",Misinformation
